Date,Week,Away Team,Away Score,Home Team,Home Score,Neutral Field
Sep 6 2014,2,Eastern Washington,52,Washington,59,
Sep 6 2014,2,Towson,0,West Virginia,54,
Sep 6 2014,2,Western Illinois,3,Wisconsin,37,
Sep 6 2014,2,Air Force,13,Wyoming,17,
Sep 11 2014,3,Houston,25,Brigham Young,33,
Sep 11 2014,3,Louisiana Tech,42,North Texas,21,
Sep 12 2014,3,Baylor,63,Buffalo,21,
Sep 12 2014,3,Toledo,34,Cincinnati,58,
Sep 13 2014,3,Abilene Christian,38,Troy,35,
Sep 13 2014,3,Air Force,48,Georgia State,38,
Sep 13 2014,3,Southern Mississippi,12,Alabama,52,
Sep 13 2014,3,Alabama A&amp;M,14,Alabama-Birmingham,41,
Sep 13 2014,3,Nevada,28,Arizona,35,
Sep 13 2014,3,Arizona State,38,Colorado,24,
Sep 13 2014,3,Arkansas,49,Texas Tech,28,
Sep 13 2014,3,Boise State,38,Connecticut,21,
Sep 13 2014,3,Southern California,31,Boston College,37,
Sep 13 2014,3,Indiana,42,Bowling Green State,45,
Sep 13 2014,3,California-Davis,21,Colorado State,49,
Sep 13 2014,3,Kansas,3,Duke,41,
Sep 13 2014,3,East Carolina,28,Virginia Tech,21,
Sep 13 2014,3,Kentucky,30,Florida,36,
Sep 13 2014,3,Tulsa,21,Florida Atlantic,50,
Sep 13 2014,3,Georgia Southern,38,Georgia Tech,42,
Sep 13 2014,3,Northern Iowa,24,Hawaii,27,
Sep 13 2014,3,Indiana State,27,Ball State,20,
Sep 13 2014,3,Iowa State,20,Iowa,17,
Sep 13 2014,3,Louisiana-Monroe,0,Louisiana State,31,
Sep 13 2014,3,Ohio,14,Marshall,44,
Sep 13 2014,3,Arkansas State,20,Miami (FL),41,
Sep 13 2014,3,Miami (OH),10,Michigan,34,
Sep 13 2014,3,Western Kentucky,47,Middle Tennessee State,50,
Sep 13 2014,3,Louisiana-Lafayette,15,Mississippi,56,
Sep 13 2014,3,Mississippi State,35,South Alabama,3,
Sep 13 2014,3,Central Florida,10,Missouri,38,
Sep 13 2014,3,Navy,35,Texas State,21,
Sep 13 2014,3,Nebraska,55,Fresno State,19,
Sep 13 2014,3,North Carolina State,49,South Florida,17,
Sep 13 2014,3,Northern Illinois,48,Nevada-Las Vegas,34,
Sep 13 2014,3,Purdue,14,Notre Dame,30,Lucas Oil Stadium - Indianapolis IN
Sep 13 2014,3,Kent State,0,Ohio State,66,
Sep 13 2014,3,Tennessee,10,Oklahoma,34,
Sep 13 2014,3,Texas-San Antonio,13,Oklahoma State,43,
Sep 13 2014,3,Eastern Michigan,3,Old Dominion,17,
Sep 13 2014,3,Wyoming,14,Oregon,48,
Sep 13 2014,3,Penn State,13,Rutgers,10,
Sep 13 2014,3,Pittsburgh,42,Florida International,25,
Sep 13 2014,3,Georgia,35,South Carolina,38,
Sep 13 2014,3,Army,0,Stanford,35,
Sep 13 2014,3,Syracuse,40,Central Michigan,3,
Sep 13 2014,3,Rice,10,Texas A&amp;M,38,
Sep 13 2014,3,Minnesota,7,Texas Christian,30,
Sep 13 2014,3,New Mexico State,24,Texas-El Paso,42,
Sep 13 2014,3,Southeastern Louisiana,20,Tulane,35,
Sep 13 2014,3,Texas,17,UCLA,20,AT&amp;T Stadium - Arlington TX
Sep 13 2014,3,Wake Forest,24,Utah State,36,
Sep 13 2014,3,Massachusetts,31,Vanderbilt,34,
Sep 13 2014,3,Louisville,21,Virginia,23,
Sep 13 2014,3,Illinois,19,Washington,44,
Sep 13 2014,3,Portland State,21,Washington State,59,
Sep 13 2014,3,West Virginia,40,Maryland,37,
Sep 13 2014,3,Western Michigan,45,Idaho,33,
Sep 18 2014,4,Auburn,20,Kansas State,14,
Sep 19 2014,4,Connecticut,14,South Florida,17,
Sep 20 2014,4,Florida,21,Alabama,42,
Sep 20 2014,4,California,45,Arizona,49,
